#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"115,682,370",+14,"1,533,239",,"110,142,624","+3,281","4,006,507","8,467",,,,,,North America,,,,,,,
,,Asia,,"188,085,078","+128,137","1,476,288",+257,"181,865,607","+205,691","4,743,183","11,197",,,,,,Asia,,,,,,,
,,Europe,,"224,718,619","+68,641","1,915,384",+151,"218,821,968","+126,160","3,981,267","8,953",,,,,,Europe,,,,,,,
,,South America,,"63,957,661","+1,602","1,328,280",,"62,142,054","+4,617","487,327","10,304",,,,,,South America,,,,,,,
,,Oceania,,"12,304,377","+2,537","20,460",+8,"12,120,727","+1,474","163,190",108,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,635,040",+17,"257,534",,"11,981,199",+81,"396,307","1,018",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"617,383,866","+200,948","6,531,200",+416,"597,074,885","+341,304","13,777,781","40,047","79,205",837.9,,,,All,,,,,,,
69,Ecuador,"1,000,214",,"35,885 ",,"961,339",+439,"2,990",759,"54,851","1,968","3,082,403","169,038","18,234,979 ",South America,185086,,,164
70,Nepal,"999,316",+75,"12,016 ",,"985,560",+165,"1,740",,"32,986",397,"5,923,465","195,528","30,294,727 ",Asia,"302,5215",2,,57
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,273",754,"13,646,641","1,445,242","9,442,460 ",Europe,"91,3271",,,141
72,Panama,"984,234",,"8,487 ",,"972,298",,"3,449",16,"220,441","1,901","7,009,916","1,570,027","4,464,839 ",North America,55261,,,772
73,Uruguay,"982,846",,"7,462 ",,"973,869",,"1,515",18,"280,788","2,132","6,114,822","1,746,934","3,500,317 ",South America,44691,,,433
74,Mongolia,"981,963",,"2,179 ",,"977,806",,"1,978",192,"289,244",642,"4,030,048","1,187,077","3,394,934 ",Asia,"31,5581",,,583
75,Latvia,"916,282","+2,911","5,971 ",+2,"891,237",,"19,074",5,"497,928","3,245","7,602,573","4,131,407","1,840,190 ",Europe,23080,"1,582",1,"10,365"
76,Azerbaijan,"819,588",+70,"9,886 ",,"808,050",+83,"1,652",,"79,256",956,"7,217,551","697,951","10,341,062 ",Asia,"131,0461",7,,160
77,Saudi Arabia,"815,326",+131,"9,332 ",+1,"802,499",+113,"3,495",40,"22,641",259,"44,253,921","1,228,873","36,011,782 ",Asia,"443,8591",4,0.03,97
78,Paraguay,"716,009",,"19,564 ",,"695,352",,"1,093",7,"97,734","2,670","2,657,506","362,745","7,326,101 ",South America,103743,,,149
79,Bahrain,"676,094",,"1,520 ",,"672,243",,"2,331",2,"368,987",830,"10,333,072","5,639,403","1,832,299 ",Asia,"31,2050",,,"1,272"
80,Sri Lanka,"670,596",,"16,747 ",,"653,746",,103,,"31,030",775,"6,486,117","300,123","21,611,544 ",Asia,"321,2903",,,5
81,Kuwait,"657,745",,"2,563 ",,"654,870",,312,3,"149,145",581,"8,350,287","1,893,441","4,410,112 ",Asia,"71,7211",,,71
82,Dominican Republic,"644,016",,"4,384 ",,"638,911",,721,4,"58,081",395,"3,657,057","329,814","11,088,228 ",North America,"172,5293",,,65
